champion_score,repetition_n,relevance_n,relevance_tier,final_score,brand,funnel_stage,format,impressions,true_longevity_days,true_versions,reissue_periods,funnel,cta_text,headline,description,ad_id,body,ad_library_url
1.0,0.417,0.333,1,0.375,Loom,MOFU,VIDEO,,259.5,3,3,prospecting·inferred,Sign up,Don't get stuck on the wrong side of time zone math.,,1340695467952174,Is your team stuck accomodating schedules and timezones? Record and share presentations in a Loom video to unstuck your day.   Don't get stuck on the wrong side of time zone math.   www.atlassian.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Is%20your%20team%20stuck%20accomodating%20schedules
1.0,0.417,1.0,3,0.7085,Scribe,MOFU,VIDEO,,62.5,5,2,prospecting·inferred,Learn more,The SOP that used to take hours. Now takes minutes.,Document and share how work actually happens.,1737809570795386,"The part nobody puts on the job description: spending hours writing up everything you do into a document so that someone else can follow it. 😣  It doesn't have to be that way.  With Scribe, you do the task. It captures everything you do, clicks and keystrokes, and builds a guide automatically, break",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=The%20part%20nobody%20puts%20on%20the
0.9944,0.417,0.667,2,0.542,Camtasia,MOFU,DCO,,70.5,2,2,prospecting·inferred,Learn more,{{product.name}},{{product.description}},1555644152851009,"techsmith.com/camtasia   Trusted by Teams who Train   Add quizzing & interactivity to your training videos. Camtasia is designed for comprehension, not just style.   Trusted by Teams who Train   Add quizzing & interactivity to your training videos. Camtasia is designed for comprehension, not just st",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=14531695471&search_type=page&q=Trusted%20by%20Teams%20who%20Train%20Add
0.8876,0.5,0.333,1,0.4165,WalkMe,TOFU,IMAGE,<100,84.5,383,4,prospecting·inferred,Learn more,The State of Digital Adoption Report,Download now,1093770439981628,"AI was supposed to reduce friction. Instead, it's adding it. Get the data on what caused this.   The State of Digital Adoption Report   www.walkme.com   Download now",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=180728395378883&search_type=page&q=AI%20was%20supposed%20to%20reduce%20Instead%2C
0.85,0.667,0.333,1,,WalkMe,TOFU,VIDEO,,117.5,8,3,prospecting·inferred,Learn more,Download the Report,,1323439673253335,"37% of workers skip AI entirely — not because it fails, but because using it breaks their workflow. Find out what's really stopping AI adoption at your org.   Download the Report   www.walkme.com",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=180728395378883&search_type=page&q=37%25%20of%20workers%20skip%20AI%20entirely
0.85,0.75,0.333,1,,WalkMe,TOFU,VIDEO,,117.5,8,3,prospecting·inferred,Learn more,Get the Report,,1311404944499262,Your employees spend 7.9 hours a week managing tools instead of working. That's one full day — every single week. See exactly where the time goes in the 2026 State of Digital Adoption   Get the Report   www.walkme.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=180728395378883&search_type=page&q=Your%20employees%20spend%20hours%20a%20week
0.85,0.25,0.0,0,,WalkMe,TOFU,VIDEO,,117.5,8,3,prospecting·inferred,Learn more,Get the Report,,1485315262781094,Only 46% of workers get guidance while actually doing their work. That gap shows up in every productivity metric.   Get the Report   www.walkme.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=180728395378883&search_type=page&q=Only%2046%25%20of%20workers%20get%20guidance
0.7504,0.167,1.0,3,,Scribe,MOFU,DCO,,23.5,17,2,neutral,Learn more,{{product.name}},{{product.description}},1072538672370396,"scribe.com   Turn Any Process Into a Step-by-Step Guide   You know how to do it. They keep asking how.  Turn your processes into step-by-step guides people can follow anytime, no more repeat explanations.  Create your first Scribe now 👉   Turn Any Process Into a Step-by-Step Guide   You know how to ",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Turn%20Any%20Process%20Into%20a%20Step-by-Step
0.744,0.25,0.0,0,,Scribe,MOFU,DCO,,22.5,5,2,neutral,Learn more,{{product.name}},{{product.description}},1521004986492791,scribe.com   Clear steps. Fewer questions.   “It helps my learners be more independent. This is invaluable!” — Eva B.  Scribe gives people the guidance they need to complete the task without waiting for someone else to explain it. 👇   Clear steps. Fewer questions.   “It helps my learners be more ind,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Clear%20Fewer%20%E2%80%9CIt%20helps%20my%20learners
0.7,0.417,0.667,2,,Camtasia,MOFU,DCO,,71.5,1,1,neutral,Learn more,{{product.name}},{{product.description}},1353237916728386,"techsmith.com/Camtasia   AI Voice Generation For Training Videos   Generate professional, AI-powered audio narration in minutes with Camtasia - no mic or recording booth necessary.   AI Voice Generation For Training Videos   Generate professional, AI-powered audio narration in minutes with Camtasia ",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=14531695471&search_type=page&q=AI%20Voice%20Generation%20For%20Training%20Videos
